Años,1r trimestre,2º trimestre,3º trimestre,4º trimestre
10. Sant Martí,3.506,3.430,3.347,3.203
2012,,,,
BARCELONA,3.332,3.260,3.202,3.114
1. Ciutat Vella,2.802,2.682,2.641,2.695
2. Eixample,3.575,3.421,3.380,3.327
3. Sants-Montjuïc,2.691,2.567,2.510,2.418
4. Les Corts,4.241,4.298,4.062,3.947
5. Sarrià-Sant Gervasi,4.177,4.043,3.962,3.804
6. Gràcia,3.166,3.026,2.958,2.868
7. Horta-Guinardó,2.607,2.500,2.349,2.378
8. Nou Barris,2.213,2.160,2.079,1.981
9. Sant Andreu,2.536,2.443,2.449,2.314
10. Sant Martí,3.062,2.956,2.869,2.854
2013,,,,
BARCELONA,3.045,3.035,2.957,3.019
1. Ciutat Vella,2.648,2.747,2.980,3.340
2. Eixample,3.283,3.269,3.550,3.488
3. Sants-Montjuïc,2.386,2.273,2.482,2.463
4. Les Corts,4.049,3.973,4.019,4.037
5. Sarrià-Sant Gervasi,3.692,3.617,3.839,3.921
6. Gràcia,2.814,2.893,3.022,3.024
7. Horta-Guinardó,2.218,2.204,2.316,2.223
8. Nou Barris,1.983,1.892,1.952,1.836
9. Sant Andreu,2.192,2.150,2.233,2.120
10. Sant Martí,2.757,2.817,3.126,2.957
2014,,,,
BARCELONA,3.067,3.100,3.116,3.188
1. Ciutat Vella,3.541,3.205,3.258,3.355
2. Eixample,3.573,3.604,3.541,3.640
3. Sants-Montjuïc,2.432,2.438,2.406,2.446
4. Les Corts,4.064,4.079,4.047,4.173
5. Sarrià-Sant Gervasi,4.010,3.995,4.013,4.065
6. Gràcia,2.882,2.905,2.974,2.995
7. Horta-Guinardó,2.277,2.265,2.236,2.208
8. Nou Barris,1.814,1.735,1.718,1.672
9. Sant Andreu,2.091,2.079,2.086,2.120
10. Sant Martí,2.972,3.201,3.124,3.226
2015,,,,
BARCELONA,3.263,3.293,3.401,3.392
1. Ciutat Vella,3.485,3.611,3.686,3.621
2. Eixample,3.743,3.747,3.874,3.861
3. Sants-Montjuïc,2.414,2.510,2.513,2.618
4. Les Corts,4.184,4.195,4.220,4.239
5. Sarrià-Sant Gervasi,4.130,4.227,4.325,4.367
6. Gràcia,3.034,3.087,3.143,3.195
7. Horta-Guinardó,2.230,2.226,2.247,2.302
8. Nou Barris,1.754,1.749,1.786,1.777
9. Sant Andreu,2.151,2.149,2.198,2.197
10. Sant Martí,3.321,3.302,3.634,3.530
2016,,,,
BARCELONA,3.478,3.533,3.667,3.879
1. Ciutat Vella,3.765,3.902,4.016,4.191
2. Eixample,4.050,4.132,4.276,4.610
3. Sants-Montjuïc,2.652,2.693,2.762,2.897
4. Les Corts,4.486,4.544,4.531,4.756
5. Sarrià-Sant Gervasi,4.598,4.551,4.685,4.818
6. Gràcia,3.163,3.227,3.404,3.610
7. Horta-Guinardó,2.302,2.329,2.415,2.493
8. Nou Barris,1.775,1.779,1.849,1.945
9. Sant Andreu,2.172,2.227,2.211,2.328
10. Sant Martí,3.382,3.440,3.617,3.954
2017,,,,
BARCELONA,4.123,4.253,4.335,4.284
1. Ciutat Vella,4.438,4.562,4.793,4.584
2. Eixample,4.998,5.057,5.215,4.978
3. Sants-Montjuïc,3.171,3.303,3.388,3.617
4. Les Corts,5.175,5.093,5.156,5.207
5. Sarrià-Sant Gervasi,4.983,5.136,5.199,5.204
6. Gràcia,3.738,3.875,4.072,4.157
7. Horta-Guinardó,2.589,2.805,2.937,2.951
8. Nou Barris,1.939,2.094,2.126,2.220
9. Sant Andreu,2.379,2.440,2.729,2.877
10. Sant Martí,4.138,4.231,4.161,3.984
2018,,,,
BARCELONA,4.334,4.400,4.388,4.344
1. Ciutat Vella,4.489,4.452,4.482,4.434
2. Eixample,5.053,5.120,5.104,5.005
