"Any","Codi_Districte_baixa","Nom_Districte_baixa","Codi_Barri_baixa","Nom_Barri_baixa","Codi_Districte_alta","Nom_Districte_alta","Codi_Barri_alta","Nom_Barri_alta","Nombre"
2010,1,"Ciutat Vella",1,"el Raval",1,"Ciutat Vella",1,"el Raval",4340
2010,1,"Ciutat Vella",2,"el Barri Gòtic",1,"Ciutat Vella",1,"el Raval",349
2010,1,"Ciutat Vella",3,"la Barceloneta",1,"Ciutat Vella",1,"el Raval",91
2010,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",1,"Ciutat Vella",1,"el Raval",208
2010,2,"Eixample",5,"el Fort Pienc",1,"Ciutat Vella",1,"el Raval",113
2010,2,"Eixample",6,"la Sagrada Família",1,"Ciutat Vella",1,"el Raval",76
2010,2,"Eixample",7,"la Dreta de l'Eixample",1,"Ciutat Vella",1,"el Raval",80
2010,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",1,"Ciutat Vella",1,"el Raval",145
2010,2,"Eixample",9,"la Nova Esquerra de l'Eixample",1,"Ciutat Vella",1,"el Raval",115
2010,2,"Eixample",10,"Sant Antoni",1,"Ciutat Vella",1,"el Raval",289
2010,3,"Sants-Montjuïc",11,"el Poble Sec",1,"Ciutat Vella",1,"el Raval",590
2010,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1,"Ciutat Vella",1,"el Raval",1
2010,3,"Sants-Montjuïc",13,"la Marina de Port",1,"Ciutat Vella",1,"el Raval",70
2010,3,"Sants-Montjuïc",14,"la Font de la Guatlla",1,"Ciutat Vella",1,"el Raval",21
2010,3,"Sants-Montjuïc",15,"Hostafrancs",1,"Ciutat Vella",1,"el Raval",29
2010,3,"Sants-Montjuïc",16,"la Bordeta",1,"Ciutat Vella",1,"el Raval",17
2010,3,"Sants-Montjuïc",17,"Sants - Badal",1,"Ciutat Vella",1,"el Raval",48
2010,3,"Sants-Montjuïc",18,"Sants",1,"Ciutat Vella",1,"el Raval",139
2010,4,"Les Corts",19,"les Corts",1,"Ciutat Vella",1,"el Raval",94
2010,4,"Les Corts",20,"la Maternitat i Sant Ramon",1,"Ciutat Vella",1,"el Raval",19
2010,4,"Les Corts",21,"Pedralbes",1,"Ciutat Vella",1,"el Raval",8
2010,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",1,"Ciutat Vella",1,"el Raval",4
2010,5,"Sarrià-Sant Gervasi",23,"Sarrià",1,"Ciutat Vella",1,"el Raval",17
2010,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",1,"Ciutat Vella",1,"el Raval",6
2010,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1,"Ciutat Vella",1,"el Raval",14
2010,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1,"Ciutat Vella",1,"el Raval",33
2010,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",1,"Ciutat Vella",1,"el Raval",88
2010,6,"Gràcia",28,"Vallcarca i els Penitents",1,"Ciutat Vella",1,"el Raval",31
2010,6,"Gràcia",29,"el Coll",1,"Ciutat Vella",1,"el Raval",6
2010,6,"Gràcia",30,"la Salut",1,"Ciutat Vella",1,"el Raval",15
2010,6,"Gràcia",31,"la Vila de Gràcia",1,"Ciutat Vella",1,"el Raval",173
2010,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",1,"Ciutat Vella",1,"el Raval",52
2010,7,"Horta-Guinardó",33,"el Baix Guinardó",1,"Ciutat Vella",1,"el Raval",24
2010,7,"Horta-Guinardó",34,"Can Baró",1,"Ciutat Vella",1,"el Raval",6
2010,7,"Horta-Guinardó",35,"el Guinardó",1,"Ciutat Vella",1,"el Raval",46
2010,7,"Horta-Guinardó",36,"la Font d'en Fargues",1,"Ciutat Vella",1,"el Raval",4
2010,7,"Horta-Guinardó",37,"el Carmel",1,"Ciutat Vella",1,"el Raval",35
2010,7,"Horta-Guinardó",38,"la Teixonera",1,"Ciutat Vella",1,"el Raval",9
2010,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",1,"Ciutat Vella",1,"el Raval",5
2010,7,"Horta-Guinardó",40,"Montbau",1,"Ciutat Vella",1,"el Raval",0
2010,7,"Horta-Guinardó",41,"la Vall d'Hebron",1,"Ciutat Vella",1,"el Raval",6
2010,7,"Horta-Guinardó",42,"la Clota",1,"Ciutat Vella",1,"el Raval",1
2010,7,"Horta-Guinardó",43,"Horta",1,"Ciutat Vella",1,"el Raval",52
2010,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",1,"Ciutat Vella",1,"el Raval",22
2010,8,"Nou Barris",45,"Porta",1,"Ciutat Vella",1,"el Raval",63
2010,8,"Nou Barris",46,"el Turó de la Peira",1,"Ciutat Vella",1,"el Raval",9
2010,8,"Nou Barris",47,"Can Peguera",1,"Ciutat Vella",1,"el Raval",1
2010,8,"Nou Barris",48,"la Guineueta",1,"Ciutat Vella",1,"el Raval",6
2010,8,"Nou Barris",49,"Canyelles",1,"Ciutat Vella",1,"el Raval",2
2010,8,"Nou Barris",50,"les Roquetes",1,"Ciutat Vella",1,"el Raval",31
2010,8,"Nou Barris",51,"Verdun",1,"Ciutat Vella",1,"el Raval",7
2010,8,"Nou Barris",52,"la Prosperitat",1,"Ciutat Vella",1,"el Raval",10
2010,8,"Nou Barris",53,"la Trinitat Nova",1,"Ciutat Vella",1,"el Raval",19
2010,8,"Nou Barris",54,"Torre Baró",1,"Ciutat Vella",1,"el Raval",1
2010,8,"Nou Barris",55,"Ciutat Meridiana",1,"Ciutat Vella",1,"el Raval",16
2010,8,"Nou Barris",56,"Vallbona",1,"Ciutat Vella",1,"el Raval",1
2010,9,"Sant Andreu",57,"la Trinitat Vella",1,"Ciutat Vella",1,"el Raval",36
2010,9,"Sant Andreu",58,"Baró de Viver",1,"Ciutat Vella",1,"el Raval",0
2010,9,"Sant Andreu",59,"el Bon Pastor",1,"Ciutat Vella",1,"el Raval",82
2010,9,"Sant Andreu",60,"Sant Andreu",1,"Ciutat Vella",1,"el Raval",33
2010,9,"Sant Andreu",61,"la Sagrera",1,"Ciutat Vella",1,"el Raval",11
2010,9,"Sant Andreu",62,"el Congrés i els Indians",1,"Ciutat Vella",1,"el Raval",15
2010,9,"Sant Andreu",63,"Navas",1,"Ciutat Vella",1,"el Raval",23
2010,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",1,"Ciutat Vella",1,"el Raval",47
2010,10,"Sant Martí",65,"el Clot",1,"Ciutat Vella",1,"el Raval",22
2010,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",1,"Ciutat Vella",1,"el Raval",18
2010,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",1,"Ciutat Vella",1,"el Raval",6
2010,10,"Sant Martí",68,"el Poblenou",1,"Ciutat Vella",1,"el Raval",59
2010,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",1,"Ciutat Vella",1,"el Raval",9
2010,10,"Sant Martí",70,"el Besòs i el Maresme",1,"Ciutat Vella",1,"el Raval",112
2010,10,"Sant Martí",71,"Provençals del Poblenou",1,"Ciutat Vella",1,"el Raval",18
2010,10,"Sant Martí",72,"Sant Martí de Provençals",1,"Ciutat Vella",1,"el Raval",19
2010,10,"Sant Martí",73,"la Verneda i la Pau",1,"Ciutat Vella",1,"el Raval",20
2010,99,"No consta",99,"No consta",1,"Ciutat Vella",1,"el Raval",1
2010,1,"Ciutat Vella",1,"el Raval",1,"Ciutat Vella",2,"el Barri Gòtic",295
2010,1,"Ciutat Vella",2,"el Barri Gòtic",1,"Ciutat Vella",2,"el Barri Gòtic",346
2010,1,"Ciutat Vella",3,"la Barceloneta",1,"Ciutat Vella",2,"el Barri Gòtic",50
2010,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",1,"Ciutat Vella",2,"el Barri Gòtic",133
2010,2,"Eixample",5,"el Fort Pienc",1,"Ciutat Vella",2,"el Barri Gòtic",24
2010,2,"Eixample",6,"la Sagrada Família",1,"Ciutat Vella",2,"el Barri Gòtic",39
2010,2,"Eixample",7,"la Dreta de l'Eixample",1,"Ciutat Vella",2,"el Barri Gòtic",50
2010,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",1,"Ciutat Vella",2,"el Barri Gòtic",41
2010,2,"Eixample",9,"la Nova Esquerra de l'Eixample",1,"Ciutat Vella",2,"el Barri Gòtic",44
2010,2,"Eixample",10,"Sant Antoni",1,"Ciutat Vella",2,"el Barri Gòtic",49
2010,3,"Sants-Montjuïc",11,"el Poble Sec",1,"Ciutat Vella",2,"el Barri Gòtic",82
