NOM_CAPA,longitude,latitude,EQUIPAMENT,NOM_DISTRICTE,NOM_BARRI
Metro i línies urbanes FGC,2.144578,41.430446,Montbau (Residència Sanitària / Llars Mundet)-,Horta-Guinardó,Montbau
Metro i línies urbanes FGC,2.1866,41.421855,La Sagrera (Garcilaso)-,Sant Andreu,la Sagrera
Metro i línies urbanes FGC,2.135951,41.381698,Plaça del Centre (Plaça del Centre (mar))-,Sants-Montjuïc,Sants
Ferrocarrils Generalitat (FGC),2.158326,41.392331,FGC - PROVENÇA (C. de Provença)-,Eixample,l'Antiga Esquerra de l'Eixample
Metro i línies urbanes FGC,2.195529,41.41519,METRO (L2) - Bac de Roda-,Sant Martí,Sant Martí de Provençals
Metro i línies urbanes FGC,2.138181,41.375381,METRO (L1) - Plaça de Sants-,Sants-Montjuïc,Sants
Metro i línies urbanes FGC,2.145065,41.430648,METRO (L3) - Montbau-,Horta-Guinardó,Montbau
Metro i línies urbanes FGC,2.163267,41.379861,METRO (L2) - Sant Antoni-,Ciutat Vella,el Raval
Metro i línies urbanes FGC,2.178576,41.443758,METRO (L4) - Via Júlia-,Nou Barris,Verdun
Metro i línies urbanes FGC,2.165373,41.391631,METRO (L3) - Passeig de Gràcia-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.179488,41.400552,METRO (L2) - Monumental-,Eixample,el Fort Pienc
Metro i línies urbanes FGC,2.20075,41.419092,METRO (L2) - Sant Martí-,Sant Martí,Sant Martí de Provençals
Metro i línies urbanes FGC,2.199588,41.449964,METRO (L1) - Baró de Viver-,Sant Andreu,la Trinitat Vella
Metro i línies urbanes FGC,2.192038,41.395136,METRO (L4) - Bogatell-,Sant Martí,el Parc i la Llacuna del Poblenou
Metro i línies urbanes FGC,2.178557,41.384154,METRO (L4) - Jaume I-,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
Metro i línies urbanes FGC,2.173056,41.381473,METRO (L3) - Liceu-,Ciutat Vella,el Barri Gòtic
Metro i línies urbanes FGC,2.169144,41.374921,METRO (L3) - Paral·lel-,Sants-Montjuïc,el Poble-sec
Metro i línies urbanes FGC,2.158917,41.382515,METRO (L1) - Urgell-,Eixample,l'Antiga Esquerra de l'Eixample
Metro i línies urbanes FGC,2.187563,41.402305,METRO (L1) - Glòries-,Sant Martí,el Parc i la Llacuna del Poblenou
Metro i línies urbanes FGC,2.184813,41.381839,METRO (L4) - Barceloneta-,Ciutat Vella,la Barceloneta
Metro i línies urbanes FGC,2.202967,41.403539,Poblenou (Pujades / Bilbao)-,Sant Martí,el Poblenou
Metro i línies urbanes FGC,2.197293,41.399236,Llacuna (Pujades / Ciutat de Granada)-,Sant Martí,el Poblenou
Metro i línies urbanes FGC,2.185845,41.382396,Barceloneta (Plaça Pau Vila)-,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
Metro i línies urbanes FGC,2.177091,41.448119,Roquetes (Vidal i Guasch)-,Nou Barris,les Roquetes
Metro i línies urbanes FGC,2.155041,41.423673,El Carmel (Mercat)-,Horta-Guinardó,el Carmel
Ferrocarrils Generalitat (FGC),2.142754,41.398631,FGC - MUNTANER-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Metro i línies urbanes FGC,2.128194,41.341726,Parc Logístic (Av. Parc Logístic / C. Número Vint-i-cinc)-,Sants-Montjuïc,la Marina del Prat Vermell
Metro i línies urbanes FGC,2.144579,41.41181,Vallcarca (Gomis)-,Gràcia,Vallcarca i els Penitents
Metro i línies urbanes FGC,2.167841,41.374856,Paral·lel (Fontrodona)-,Sants-Montjuïc,el Poble-sec
Metro i línies urbanes FGC,2.128663,41.375646,Badal (Carrer de Sants)-,Sants-Montjuïc,Sants - Badal
Metro i línies urbanes FGC,2.135098,41.375678,Plaça de Sants (Plaça de Sants)-,Sants-Montjuïc,Sants
Metro i línies urbanes FGC,2.17719,41.424501,Maragall (Ramon Albó)-,Sant Andreu,el Congrés i els Indians
Metro i línies urbanes FGC,2.160597,41.395388,Diagonal (Pg. de Gràcia (escala mecànica))-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.144279,41.37511,Hostafrancs (Hostafrancs)-,Sants-Montjuïc,Hostafrancs
Metro i línies urbanes FGC,2.14939,41.374273,Espanya (Exposició / Gran Via)-,Sants-Montjuïc,el Poble-sec
Metro i línies urbanes FGC,2.111546,41.38417,Zona Universitària (Avinguda Diagonal)-,Les Corts,la Maternitat i Sant Ramon
Metro i línies urbanes FGC,2.117983,41.386156,Palau Reial (Palau de Pedralbes)-,Les Corts,Pedralbes
Metro i línies urbanes FGC,2.135654,41.38214,Plaça del Centre (Plaça del Centre (muntanya))-,Les Corts,les Corts
Metro i línies urbanes FGC,2.142006,41.38111,Sants Estació (Av. Josep Tarradellas)-,Sants-Montjuïc,Sants
Metro i línies urbanes FGC,2.172495,41.382048,Liceu (La Rambla / Mercat de la Boqueria)-,Ciutat Vella,el Raval
Metro i línies urbanes FGC,2.179651,41.400516,Monumental (Marina / Plaça de Toros)-,Eixample,el Fort Pienc
Metro i línies urbanes FGC,2.182157,41.407093,Encants (València / Mallorca)-,Sant Martí,el Camp de l'Arpa del Clot
Metro i línies urbanes FGC,2.144991,41.343005,METRO (L10S) - Zona Franca-,Sants-Montjuïc,la Marina del Prat Vermell
Metro i línies urbanes FGC,2.125817,41.387844,METRO (L3) - Maria Cristina-,Les Corts,la Maternitat i Sant Ramon
Metro i línies urbanes FGC,2.184122,41.449528,METRO (L3) - Trinitat Nova-,Nou Barris,la Trinitat Nova
RENFE,2.181952,41.393385,RENFE - ARC DE TRIOMF-,Eixample,el Fort Pienc
RENFE,2.16875,41.387019,RENFE - CATALUNYA-,Eixample,la Dreta de l'Eixample
RENFE,2.187908,41.409832,RENFE - CLOT-,Sant Martí,el Clot
RENFE,2.189397,41.410259,RENFE - CLOT-,Sant Martí,el Clot
Metro i línies urbanes FGC,2.145362,41.378521,METRO (L3) - Tarragona-,Eixample,la Nova Esquerra de l'Eixample
Metro i línies urbanes FGC,2.158856,41.394463,METRO (L5) - Diagonal-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.167115,41.39898,METRO (L5) - Verdaguer-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.181523,41.415088,METRO (L5) - Camp de l'Arpa-,Sant Martí,el Camp de l'Arpa del Clot
Metro i línies urbanes FGC,2.16,41.429721,METRO (L5) - Horta-,Horta-Guinardó,Horta
Metro i línies urbanes FGC,2.142382,41.425021,METRO (L5) - Vall d'Hebron-,Horta-Guinardó,Montbau
Metro i línies urbanes FGC,2.180732,41.459324,Torre Baró | Vallbona (Avinguda Escolapi Càncer)-,Nou Barris,Torre Baró
Metro i línies urbanes FGC,2.183301,41.431517,Fabra i Puig (Sòcrates)-,Sant Andreu,Sant Andreu
Metro i línies urbanes FGC,2.183366,41.43085,Fabra i Puig (Renfe)-,Sant Andreu,Sant Andreu
Metro i línies urbanes FGC,2.163271,41.380684,Sant Antoni (Villarroel)-,Eixample,Sant Antoni
Metro i línies urbanes FGC,2.158254,41.382048,Urgell (Comte d'Urgell)-,Eixample,la Nova Esquerra de l'Eixample
Metro i línies urbanes FGC,2.190955,41.442435,Torras i Bages (Palomar / costat mar)-,Sant Andreu,Sant Andreu
Metro i línies urbanes FGC,2.163275,41.379017,Sant Antoni (Sant Antoni Abat)-,Ciutat Vella,el Raval
Metro i línies urbanes FGC,2.148115,41.434981,Mundet (Can Marcet)-,Horta-Guinardó,la Vall d'Hebron
Metro i línies urbanes FGC,2.159938,41.382757,Urgell (Villarroel / Sepúlveda)-,Eixample,Sant Antoni
Metro i línies urbanes FGC,2.173425,41.389386,Urquinaona (Plaça Urquinaona)-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.173855,41.389119,Urquinaona (Trafalgar)-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.183539,41.430506,Fabra i Puig (Passeig Fabra i Puig)-,Sant Andreu,Sant Andreu
Metro i línies urbanes FGC,2.142118,41.355684,Foc (Fira Gran Via (Pavellons 6·7·8))-,Sants-Montjuïc,la Marina del Prat Vermell
Metro i línies urbanes FGC,2.14486,41.342901,Zona Franca (Carrer A / Carrer 2)-,Sants-Montjuïc,la Marina del Prat Vermell
Ferrocarrils Generalitat (FGC),2.130828,41.397781,FGC - LES TRES TORRES-,Sarrià-Sant Gervasi,les Tres Torres
Tramvia,2.193551,41.408024,"TRAMVIA (T5, T6) - CAN JAUMANDREU-",Sant Martí,Provençals del Poblenou
Ferrocarrils Generalitat (FGC),2.147016,41.401372,FGC - SANT GERVASI-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Metro i línies urbanes FGC,2.156061,41.425567,El Carmel (Plaça Pastrana)-,Horta-Guinardó,el Carmel
Tramvia,2.213571,41.417238,"TRAMVIA (T5, T6) - ALFONS EL MAGNÀNIM-",Sant Martí,el Besòs i el Maresme
Metro i línies urbanes FGC,2.167657,41.389795,Passeig de Gràcia (Passeig de Gràcia / Gran Via)-,Eixample,la Dreta de l'Eixample
