name,station_id,latitude,longitude,capacity
"C/ VIRIAT, 43",98,41.3806074,2.1408633,21
"C/ VIRIAT,  53",99,41.3808222,2.141539,21
"C/ TARRAGONA,  159-173",100,41.3787064,2.1443579,22
"AV. DIAGONAL,  602",101,41.392878,2.143411,24
"AV. DIAGONAL,  612",102,41.392567,2.1422174,24
"C/ ARAGÓ, 629",103,41.410098,2.1884487,21
"C/ VALÈNCIA,  621",104,41.4108005,2.1872438,26
"PL. URQUINAONA, 9-10",105,41.3888694,2.1735975,21
"PL  JOANIC - C / BRUNIQUER, 59",106,41.4055198,2.1622548,20
"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA",107,41.3982304,2.1531031,20
"C / INDÚSTRIA, 10",108,41.4022081,2.1649035,21
"C/ LONDRES,  53",109,41.3912605,2.1476308,24
"AV. ROMA,  136",110,41.3852585,2.155089,21
C/ ARAGÓN 147,111,41.3847528,2.1546746,18
"C/ FLORIDABLANCA,  49",112,41.3776721,2.157233,20
"RONDA DE SANT PAU , 51",113,41.3773113,2.1646742,34
"PL. JEAN GENET,  1",114,41.376735,2.1740082,20
"AV. MARQUÉS DE L'ARGENTERA,  3",115,41.383597,2.184171,21
"C/ DEL DR. AIGUADER, 72 / PG. SALVAT",116,41.3838369,2.1914756,27
"C/ ROSA SENSAT, 12",117,41.3906051,2.1972309,21
"C/ PUJADES,  3",118,41.39212,2.1874966,27
"C/ SARDENYA,  178",119,41.3967169,2.1825085,39
"C/ LEPANT,  278",120,41.4047056,2.1765126,21
"C/ CASTILLEJOS, 258",121,41.4064529,2.1785364,20
"C/ NÀPOLS, 344",122,41.4054458,2.1663172,25
"C/ PROVENÇA, 317",123,41.3988184485363,2.166735224916682,21
C/ NOVA  BOCANA,124,41.3702483,2.1878126,31
"PG. MARíTIM, 31 B (ANNEXA A LA  12)",125,41.3834753,2.194735,21
PG. DE COLOM /VIA LAIETANA,126,41.380628,2.1822815,21
"C/ ARAGÓ, 659 / NAVAS DE TOLOSA",127,41.4120681,2.1907524,25
"RAMBLA DE GUIPÚSCOA, 43/FLUVIÀ",128,41.4158412,2.1959771,43
"C/ MANSO, 46",129,41.377046,2.16113608,23
"RAMBLA DE GUIPÚSCOA, 103 / CANTÀBRIA",130,41.4200135,2.2016699,24
"RAMBLA  DE GUIPÚSCOA, 158/ CA N'OLIVA",131,41.4227912,2.2060317,27
PL. VALENTÍ ALMIRALL,132,41.4084796,2.192042,27
"GRAN VIA DE LES CORTS CATALANES,  902",133,41.4075013,2.1930174,16
"C/ BAC DE RODA, 157",134,41.4113024,2.1987258,21
"GRAN VIA DE LES CORTS CATALANES,  981",135,41.4120452,2.1972673,21
"GRAN VIA DE LES CORTS CATALANES,  1062",136,41.4139298,2.2017955,30
"GRAN VIA DE LES CORTS CATALANES , 1041",137,41.4145805,2.2008139,25
"GRAN VIA DE LES CORTS CATALANES,  1118",138,41.4167933,2.2058345,21
"GRAN VIA DE LES CORTS CATALANES,  1131",139,41.4183999,2.2058133,35
"C/ VILADOMAT,  122",140,41.3808772,2.1559939,27
"C/ BILBAO, 174",141,41.4090202,2.1954152,32
"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ",142,41.4003793,2.1924144,32
"C/ SANCHO DE ÁVILA, 170 / LLACUNA",143,41.4027907,2.1956161,27
"C/ CASTELLA,  28 / DIAGONAL",144,41.4056269,2.1977119,26
"C/ PERE IV,  301 / FLUVIÀ",145,41.4093405,2.2024461,27
"C/ PERE IV, 488",146,41.4148983,2.207186,24
"RAMBLA PRIM, 79",147,41.416043,2.2124993,33
"RONDA SANT PAU, 79",148,41.3783467,2.1633139,27
"C/ PUJADES, 57B",149,41.3958685,2.192952,27
"C/ ESPRONCEDA, 124",150,41.4065912,2.2030279999999998,26
"C/ PALLARS, 182",151,41.4003471,2.1969105,26
"C/ PUJADES, 121",152,41.3993329,2.1974184,27
"C/ PUJADES, 173/RBLA POBLE NOU",153,41.4018686,2.20077,23
"C/ PUJADES, 191",154,41.4026275,2.2017694,32
"C/ PUJADES, 311/ FLUVIÀ",155,41.4070139,2.2074469,32
"C/ SELVA DE MAR, 46",156,41.4091355,2.2088179,27
"C/ LLULL, 465",157,41.4132316,2.2177652,33
"RAMBLA DE PRIM, 19",158,41.4116634,2.2183313,27
"AV. DIAGONAL, 26",159,41.4110822,2.2163136,32
"C/ RAMON TURRÓ, 91",161,41.3953011,2.1965965,27
"C/ RAMON TURRÓ, 292",162,41.4038559,2.2084257,27
"AV. ICÀRIA, 202",163,41.3942108,2.2008756,27
"C/ INDEPENDÈNCIA, 379",164,41.4118378,2.1778852,27
"C/ DEL DOCTOR TRUETA, 222",165,41.3992169,2.2041415,26
"C/ BILBAO, 2",166,41.4008312,2.206645,27
"C/ BAC DE RODA, 11",167,41.4023354,2.2105777,21
SELVA DE MAR / PG. DEL TAULAT,168,41.4053697,2.2135818,27
"AV. LITORAL, 40 (D)",170,41.3896642,2.1999572,54
"PG. MARÍTIM NOVA ICÀRIA, 83 (D)",171,41.3919877,2.2037136,52
"AV.LITORAL, 84",173,41.3979002,2.2088454,27
"PG. DE GARCIA FÀRIA, 21/ESPRONCEDA",174,41.4008744,2.2099336,27
"C/ LLULL, 309",175,41.4065291,2.2091221,27
"PG. DE GARCIA FÀRIA, 37/JOSEP FERRATER",176,41.4023621,2.2119049,31
"C/ ROSSELLÓ, 557",177,41.4110754,2.1809764,34
"PG. DE GARCIA FÀRIA, 85",178,41.4053649,2.2162094,26
"PG. ZONA FRANCA, 244",179,41.36352,2.1369015,16
"GRAN VIA DE LES CORTS CATALANES, 179 (D)",180,41.3675574,2.1388216,51
"GRAN VIA DE LES CORTS CATALANES, 273",182,41.3714775,2.1439304,32
"C/ GAVÀ, 1",183,41.3723682,2.1419494,30
"C/ QUETZAL, 22-24",184,41.3675438,2.1342316,27
"C/GAVÀ, 81",185,41.3703717,2.1389439,16
"C/CONSELL DE CENT, 6",186,41.3755503,2.1439036,26
"C/ DE SANT PAU, 89 - 97",187,41.3768806,2.1698206,19
PG. SANT ANTONI /PL. SANTS,188,41.3756948,2.1358571,27
"C/ BRUC, 130",189,41.3969839,2.1661852,28
"AV. LITORAL, 72",190,41.3961412,2.2078439,29
