name,latitude,longitude,type,geometry
Josep Tarradellas - Francesc Macià,41.391603,2.143749,"{'typepoint': {'type': 'Point', 'coordinates': [41.391603, 2.143749]}}",POINT (2.143749 41.391603)
Pg Sant Gervasi - Mas Yebra,41.412101,2.13819,"{'typepoint': {'type': 'Point', 'coordinates': [41.412101, 2.13819]}}",POINT (2.13819 41.412101)
Terré - Pl de Benet XV,41.406002,2.120596,"{'typepoint': {'type': 'Point', 'coordinates': [41.406002, 2.120596]}}",POINT (2.120596 41.406002)
Ronda de Dalt - Bellesguard,41.410479,2.126513,"{'typepoint': {'type': 'Point', 'coordinates': [41.410479, 2.126513]}}",POINT (2.126513 41.410479)
Josep Garí - Collserola,41.415726,2.135586,"{'typepoint': {'type': 'Point', 'coordinates': [41.415726, 2.135586]}}",POINT (2.135586 41.415726)
Benedetti - Ronda de Dalt,41.408844,2.124256,"{'typepoint': {'type': 'Point', 'coordinates': [41.408844, 2.124256]}}",POINT (2.124256 41.408844)
Tamariu - Palamós,41.449496,2.18543,"{'typepoint': {'type': 'Point', 'coordinates': [41.449496, 2.18543]}}",POINT (2.18543 41.449496)
Via Favència - Aiguablava,41.446461,2.18056,"{'typepoint': {'type': 'Point', 'coordinates': [41.446461, 2.18056]}}",POINT (2.18056 41.446461)
Diagonal - Balmes,41.395404,2.155382,"{'typepoint': {'type': 'Point', 'coordinates': [41.395404, 2.155382]}}",POINT (2.155382 41.395404)
Gran Via - Balmes,41.387854,2.165804,"{'typepoint': {'type': 'Point', 'coordinates': [41.387854, 2.165804]}}",POINT (2.165804 41.387854)
Mitre - Muntaner,41.403095,2.138465,"{'typepoint': {'type': 'Point', 'coordinates': [41.403095, 2.138465]}}",POINT (2.138465 41.403095)
Pg Sant Gervasi - Folgueroles,41.40938,2.13521,"{'typepoint': {'type': 'Point', 'coordinates': [41.40938, 2.13521]}}",POINT (2.13521 41.40938)
València - Balmes,41.390198,2.160081,"{'typepoint': {'type': 'Point', 'coordinates': [41.390198, 2.160081]}}",POINT (2.160081 41.390198)
Mitre - Saragossa,41.405398,2.14347,"{'typepoint': {'type': 'Point', 'coordinates': [41.405398, 2.14347]}}",POINT (2.14347 41.405398)
París - Enric Granados,41.393679,2.153392,"{'typepoint': {'type': 'Point', 'coordinates': [41.393679, 2.153392]}}",POINT (2.153392 41.393679)
Bisbe Català - Pl Pedralbes,41.396058,2.114509,"{'typepoint': {'type': 'Point', 'coordinates': [41.396058, 2.114509]}}",POINT (2.114509 41.396058)
Guipúscoa - Bac de Roda,41.41497,2.195547,"{'typepoint': {'type': 'Point', 'coordinates': [41.41497, 2.195547]}}",POINT (2.195547 41.41497)
Guipúscoa - Bac de Roda,41.415047,2.195057,"{'typepoint': {'type': 'Point', 'coordinates': [41.415047, 2.195057]}}",POINT (2.195057 41.415047)
Pl Espanya - FGC,41.374395,2.147976,"{'typepoint': {'type': 'Point', 'coordinates': [41.374395, 2.147976]}}",POINT (2.147976 41.374395)
Numància - Marquès de Sentmenat,41.384607,2.137456,"{'typepoint': {'type': 'Point', 'coordinates': [41.384607, 2.137456]}}",POINT (2.137456 41.384607)
Nicaragua - Josep Tarradellas,41.382903,2.141836,"{'typepoint': {'type': 'Point', 'coordinates': [41.382903, 2.141836]}}",POINT (2.141836 41.382903)
Bifurcació - Ctra Nacional 152,41.46694,2.178884,"{'typepoint': {'type': 'Point', 'coordinates': [41.46694, 2.178884]}}",POINT (2.178884 41.46694)
Ctra Nacional 152 - Bifurcació,41.467071,2.178991,"{'typepoint': {'type': 'Point', 'coordinates': [41.467071, 2.178991]}}",POINT (2.178991 41.467071)
Bolívar - Ballester,41.409254,2.147712,"{'typepoint': {'type': 'Point', 'coordinates': [41.409254, 2.147712]}}",POINT (2.147712 41.409254)
Av de Vallcarca - Pl Lesseps,41.408598,2.148951,"{'typepoint': {'type': 'Point', 'coordinates': [41.408598, 2.148951]}}",POINT (2.148951 41.408598)
Av Riera de Cassoles - Rambla de Prat,41.401526,2.15123,"{'typepoint': {'type': 'Point', 'coordinates': [41.401526, 2.15123]}}",POINT (2.15123 41.401526)
Còrsega - Bailèn,41.401312,2.16559,"{'typepoint': {'type': 'Point', 'coordinates': [41.401312, 2.16559]}}",POINT (2.16559 41.401312)
Pl Mossèn Jacint Verdaguer,41.398881,2.16861,"{'typepoint': {'type': 'Point', 'coordinates': [41.398881, 2.16861]}}",POINT (2.16861 41.398881)
Arc de Triomf,41.391274,2.178718,"{'typepoint': {'type': 'Point', 'coordinates': [41.391274, 2.178718]}}",POINT (2.178718 41.391274)
Metro Tetuan,41.39379,2.174219,"{'typepoint': {'type': 'Point', 'coordinates': [41.39379, 2.174219]}}",POINT (2.174219 41.39379)
Mercat de la Concepció,41.396988,2.169109,"{'typepoint': {'type': 'Point', 'coordinates': [41.396988, 2.169109]}}",POINT (2.169109 41.396988)
Segre - Pl de Can Fabra,41.434573,2.192089,"{'typepoint': {'type': 'Point', 'coordinates': [41.434573, 2.192089]}}",POINT (2.192089 41.434573)
Segre - Pl Orfila,41.43575,2.191468,"{'typepoint': {'type': 'Point', 'coordinates': [41.43575, 2.191468]}}",POINT (2.191468 41.43575)
Av de Vallcarca - Ballester,41.409625,2.147621,"{'typepoint': {'type': 'Point', 'coordinates': [41.409625, 2.147621]}}",POINT (2.147621 41.409625)
Pg  Lluís Companys - Parc de la Ciutadella,41.389501,2.183528,"{'typepoint': {'type': 'Point', 'coordinates': [41.389501, 2.183528]}}",POINT (2.183528 41.389501)
Via Augusta - Pau Alcover,41.398431,2.125934,"{'typepoint': {'type': 'Point', 'coordinates': [41.398431, 2.125934]}}",POINT (2.125934 41.398431)
Pg Bonanova,41.399943,2.124038,"{'typepoint': {'type': 'Point', 'coordinates': [41.399943, 2.124038]}}",POINT (2.124038 41.399943)
Josep Tarradellas - Av de Sarrià,41.390958,2.144053,"{'typepoint': {'type': 'Point', 'coordinates': [41.390958, 2.144053]}}",POINT (2.144053 41.390958)
Floridablanca - Viladomat,41.378171,2.158158,"{'typepoint': {'type': 'Point', 'coordinates': [41.378171, 2.158158]}}",POINT (2.158158 41.378171)
València - Comte d'Urgell,41.38602,2.154537,"{'typepoint': {'type': 'Point', 'coordinates': [41.38602, 2.154537]}}",POINT (2.154537 41.38602)
Mallorca - Comte d'Urgell,41.386791,2.153119,"{'typepoint': {'type': 'Point', 'coordinates': [41.386791, 2.153119]}}",POINT (2.153119 41.386791)
Paral·lel - Ronda Sant Pau,41.375062,2.167171,"{'typepoint': {'type': 'Point', 'coordinates': [41.375062, 2.167171]}}",POINT (2.167171 41.375062)
Rosselló - Bruc,41.398075,2.163744,"{'typepoint': {'type': 'Point', 'coordinates': [41.398075, 2.163744]}}",POINT (2.163744 41.398075)
Diagonal - Bruc,41.398197,2.165846,"{'typepoint': {'type': 'Point', 'coordinates': [41.398197, 2.165846]}}",POINT (2.165846 41.398197)
Ronda Sant Pere - Girona,41.390249,2.175962,"{'typepoint': {'type': 'Point', 'coordinates': [41.390249, 2.175962]}}",POINT (2.175962 41.390249)
Gran Via - Llúria,41.39187,2.171675,"{'typepoint': {'type': 'Point', 'coordinates': [41.39187, 2.171675]}}",POINT (2.171675 41.39187)
Pg Valldaura - Pg Andreu Nin,41.43928,2.182503,"{'typepoint': {'type': 'Point', 'coordinates': [41.43928, 2.182503]}}",POINT (2.182503 41.43928)
Espronceda - Pl Islàndia,41.417606,2.188244,"{'typepoint': {'type': 'Point', 'coordinates': [41.417606, 2.188244]}}",POINT (2.188244 41.417606)
Caracas - Potosí,41.44406,2.202693,"{'typepoint': {'type': 'Point', 'coordinates': [41.44406, 2.202693]}}",POINT (2.202693 41.44406)
Badal - Canalejas,41.373489,2.131036,"{'typepoint': {'type': 'Point', 'coordinates': [41.373489, 2.131036]}}",POINT (2.131036 41.373489)
Badal - Casteràs,41.375049,2.130456,"{'typepoint': {'type': 'Point', 'coordinates': [41.375049, 2.130456]}}",POINT (2.130456 41.375049)
Sagrera - Múrcia,41.417652,2.191488,"{'typepoint': {'type': 'Point', 'coordinates': [41.417652, 2.191488]}}",POINT (2.191488 41.417652)
Santa Rosalia - Besòs,41.42169,2.146679,"{'typepoint': {'type': 'Point', 'coordinates': [41.42169, 2.146679]}}",POINT (2.146679 41.42169)
València - Villarroel,41.386831,2.155608,"{'typepoint': {'type': 'Point', 'coordinates': [41.386831, 2.155608]}}",POINT (2.155608 41.386831)
Mallorca - Muntaner,41.389512,2.156721,"{'typepoint': {'type': 'Point', 'coordinates': [41.389512, 2.156721]}}",POINT (2.156721 41.389512)
Gran Via - Casanova,41.38425,2.160999,"{'typepoint': {'type': 'Point', 'coordinates': [41.38425, 2.160999]}}",POINT (2.160999 41.38425)
Diagonal - Francesc Macià,41.393118,2.146355,"{'typepoint': {'type': 'Point', 'coordinates': [41.393118, 2.146355]}}",POINT (2.146355 41.393118)
París - Casanova,41.391101,2.149974,"{'typepoint': {'type': 'Point', 'coordinates': [41.391101, 2.149974]}}",POINT (2.149974 41.391101)
Av. Pedralbes - Cavallers,41.393054,2.115241,"{'typepoint': {'type': 'Point', 'coordinates': [41.393054, 2.115241]}}",POINT (2.115241 41.393054)
Villarroel - Aragó,41.385291,2.156551,"{'typepoint': {'type': 'Point', 'coordinates': [41.385291, 2.156551]}}",POINT (2.156551 41.385291)
Pau Claris - Aragó,41.392751,2.166989,"{'typepoint': {'type': 'Point', 'coordinates': [41.392751, 2.166989]}}",POINT (2.166989 41.392751)
Balmes - Aragó,41.38938,2.1624,"{'typepoint': {'type': 'Point', 'coordinates': [41.38938, 2.1624]}}",POINT (2.1624 41.38938)
Sants - Gayarre,41.375257,2.139662,"{'typepoint': {'type': 'Point', 'coordinates': [41.375257, 2.139662]}}",POINT (2.139662 41.375257)
Creu Coberta - Pl Espanya,41.375222,2.147537,"{'typepoint': {'type': 'Point', 'coordinates': [41.375222, 2.147537]}}",POINT (2.147537 41.375222)
Metro Hostafrancs,41.375281,2.144563,"{'typepoint': {'type': 'Point', 'coordinates': [41.375281, 2.144563]}}",POINT (2.144563 41.375281)
Pg de Gràcia - Consell de Cent,41.391615,2.16543,"{'typepoint': {'type': 'Point', 'coordinates': [41.391615, 2.16543]}}",POINT (2.16543 41.391615)
