Distrito,2016,2017,2018,2019,2020
1. Ciutat Vella,"8,1","8,8","7,8","7,6","7,5"
2. L'Eixample,"7,8","7,8","7,8","7,2","6,3"
3. Sants-Montjuïc,"8,5","8,2","8,0","8,0","7,1"
4. Les Corts,"7,7","7,9","7,5","7,0","6,8"
5. Sarrià-Sant Gervasi,"9,0","8,5","7,9","8,2","7,5"
6. Gràcia,"9,3","8,7","8,7","8,0","8,1"
7. Horta-Guinardó,"8,5","7,9","7,9","7,3","6,7"
8. Nou Barris,"8,5","8,9","7,8","7,9","7,3"
9. Sant Andreu,"8,7","8,6","7,8","7,8","7,4"
10. Sant Martí,"8,7","8,7","8,2","7,7","6,8"
