index,Ciutat Vella,L'Eixample,Sants-Montjuïc,Les Corts,Sarrià-Sant Gervasi,Gràcia,Horta-Guinardó,Nou Barris,Sant Andreu,Sant Martí
2016,7.9,10.1,8.9,9.3,9.4,10.0,11.0,9.8,8.8,8.6
2017,8.0,10.3,9.7,9.3,9.1,9.7,10.7,10.5,9.0,8.8
2018,7.0,10.1,9.1,9.3,9.3,9.8,11.1,10.2,8.6,8.5
2019,6.5,9.5,8.3,9.5,9.2,8.4,9.9,9.4,8.4,8.2
2020,7.9,12.0,10.6,11.1,11.1,11.4,14.1,13.1,11.1,10.2
